	Gene	IndModel.adj.pvals	IndModel.FC	Tissue
21363	TMEM237	0.001592359	-0.212717296	In
21364	PRKAR2A	0.0015939	0.051098822	In
21365	HNRNPLL	0.001603635	0.072363825	In
21366	IQCB1	0.001605037	0.061423932	In
21367	ARL4D	0.001608775	-0.316403021	In
21368	PMVK	0.001609235	-0.021641737	In
21369	KLHL7	0.001614019	0.046309304	In
21370	SLC39A4	0.001616108	-0.455711926	In
21371	SLC39A11	0.001616906	0.011655547	In
21372	GADD45G	0.001617534	-0.516156221	In
21373	ZBTB38	0.001617913	0.170468747	In
21374	PTPN9	0.001620454	0.106191819	In
21375	SDHAF1	0.001623476	-0.466936933	In
21376	CTSH	0.001624684	-0.133765964	In
21377	PDCD5	0.001633363	-0.257907286	In
21378	CLPP	0.001635896	-0.40239827	In
21379	LYRM2	0.001640856	-0.183091701	In
21380	FAM174B	0.001640856	0.138714866	In
21381	ERCC4	0.001641605	-0.052971647	In
21382	ILK	0.00164203	-0.030354266	In
21383	EED	0.001643244	-0.046837745	In
21384	C14orf1	0.001644027	-0.055044907	In
21385	CACNG7	0.001644357	-0.079053462	In
21386	DENND5B	0.001644418	0.095928688	In
21387	CAPRIN1	0.001648436	0.116524731	In
21388	RBAK-RBAKDN	0.00166051	-0.034909847	In
21389	CCDC109B	0.001673564	-0.163130437	In
21390	PANK3	0.001673774	-0.101296326	In
21391	SH3BP5	0.001676835	0.106773722	In
21392	ADAMTSL1	0.001678758	-0.386002422	In
21393	SLC25A26	0.001680949	0.043280404	In
21394	LSM12	0.001681513	-0.096690819	In
21395	ITGA3	0.001681531	0.138786763	In
21396	TRMT2B	0.001683356	-0.380811019	In
21397	PLXDC1	0.001684094	-0.003635609	In
21398	SLK	0.001685642	-0.153785823	In
21399	MRPL2	0.001691125	-0.186918567	In
21400	SH3BGRL2	0.001691125	-0.154844672	In
21401	XPO7	0.001691125	-0.028780523	In
21402	DNAJB2	0.001691163	0.176414624	In
21403	TMEM9B	0.001691163	-0.191944725	In
21404	PIGU	0.001691163	0.01652257	In
21405	METTL22	0.001692538	-0.304583792	In
21406	ENOX1	0.001692561	0.064683725	In
21407	C1orf216	0.001695214	0.080049992	In
21408	ABCD3	0.001695785	-0.026081883	In
21409	DIRAS2	0.001696547	-0.122638	In
21410	POLR3B	0.001696547	0.065474351	In
21411	KDM1B	0.001697426	-0.194423557	In
21412	DLD	0.001706062	-0.060783567	In
21413	LANCL2	0.001715261	0.048354299	In
21414	PDP1	0.001722204	-0.161686124	In
21415	HS1BP3	0.001722378	-0.078089504	In
21416	ZFYVE19	0.001722378	-0.426323113	In
21417	LCOR	0.001724308	0.091347605	In
21418	PLD6	0.00172655	-0.299881391	In
21419	LRPPRC	0.001728746	-0.079988187	In
21420	ANGPTL1	0.00172928	-0.270239488	In
21421	EIF4ENIF1	0.001730111	-0.124644949	In
21422	IL1RAP	0.001732754	0.014034577	In
21423	CDH10	0.001735403	0.074470793	In
21424	SYF2	0.001735406	-0.223271667	In
21425	RIMS3	0.001735793	0.049880489	In
21426	GNS	0.001735793	-0.137082923	In
21427	CEBPZOS	0.001736194	-0.023583456	In
21428	ZNF195	0.001736815	-0.132985346	In
21429	DRAP1	0.001736815	-0.28358601	In
21430	VTI1B	0.001736815	-0.170735708	In
21431	HNRNPU	0.001747903	-0.196558227	In
21432	UBN2	0.001748403	0.029977886	In
21433	BAG4	0.00175251	0.016190807	In
21434	ARL13B	0.001755739	-0.149574288	In
21435	HMCES	0.001755754	-0.093135368	In
21436	AGPAT5	0.001757844	-0.110795673	In
21437	RFC1	0.001762226	0.091160221	In
21438	BCCIP	0.001769751	-0.184282005	In
21439	RNASEH2B	0.001769834	-0.081803745	In
21440	PARVB	0.001769834	-0.126258486	In
21441	HPCAL4	0.001778249	0.094132234	In
21442	CAP1	0.001780318	-8.55E-05	In
21443	EGFR	0.001780867	0.086103735	In
21444	STRADB	0.00178099	-0.326937823	In
21445	C16orf70	0.001790564	-0.043313175	In
21446	CTR9	0.001792319	-0.230860449	In
21447	CTU2	0.001799956	-0.408932633	In
21448	EPG5	0.001800966	-0.127550329	In
21449	COPS3	0.001805682	-0.197384819	In
21450	HDHD2	0.001805682	0.029699791	In
21451	STXBP3	0.001813261	-0.261282911	In
21452	CNTRL	0.001813885	0.095882244	In
21453	EIF5AL1	0.001813885	-1.736574028	In
21454	RER1	0.001819359	0.112566461	In
21455	SLBP	0.001819693	-0.135074534	In
21456	ZNF765	0.001819693	-0.211515651	In
21457	PLCG1	0.0018249	-0.286543503	In
21458	ZNF644	0.001827108	0.057297029	In
21459	B3GLCT	0.001827108	0.107277975	In
21460	STK32A	0.001828167	-0.35451959	In
21461	ZNF391	0.001836376	-0.219505161	In
21462	C1orf228	0.001839203	-0.402306052	In
21463	IL1RAPL1	0.001839338	0.135312692	In
21464	MAPK8IP3	0.001839612	0.128011733	In
21465	RARRES1	0.001839695	-0.480936541	In
21466	BAZ2A	0.001839695	0.100761617	In
21467	CCBL2	0.001842296	-0.365617228	In
21468	TRAF3IP2	0.001845288	-0.459135171	In
21469	LYPD6B	0.001852692	0.029118159	In
21470	CCDC130	0.001855988	-0.145510568	In
21471	UPP1	0.001860792	0.08962154	In
21472	LPGAT1	0.001867894	-0.014455428	In
21473	SPATA6L	0.001867923	-0.24442223	In
21474	FBXW5	0.001869194	0.110421641	In
21475	NEIL2	0.001872203	-0.613492833	In
21476	PCSK6	0.001875007	-0.249319008	In
21477	SYNGR1	0.001877985	0.162947362	In
21478	ISG20L2	0.001886978	-0.119420567	In
21479	PHAX	0.001888657	-0.07394544	In
21480	UPF3A	0.001888657	0.120578225	In
21481	LETM1	0.00189188	0.020644049	In
21482	FAM102B	0.001901838	0.055248568	In
21483	TCERG1	0.001901838	0.06413262	In
21484	DCUN1D2	0.001905747	0.049268858	In
21485	ZBTB46	0.001906918	-0.231259349	In
21486	ACSL4	0.001923168	0.080686328	In
21487	CGREF1	0.001934658	0.04840087	In
21488	RNF40	0.001937479	0.153528886	In
21489	ASH1L	0.001938329	0.081767264	In
21490	CSPP1	0.001938341	0.083994325	In
21491	NAPEPLD	0.001938598	0.002024895	In
21492	CDS2	0.001939584	0.127374123	In
21493	CPSF7	0.001944051	-0.110375803	In
21494	KPNA4	0.001947251	0.044248788	In
21495	RXRA	0.001954554	0.10755632	In
21496	MYO18A	0.001956521	-0.549521736	In
21497	GLRX2	0.001961895	-0.130097771	In
21498	SGTA	0.001963106	0.052346317	In
21499	NCSTN	0.001963377	0.043459676	In
21500	PPIB	0.001964141	-0.074655415	In
21501	KCNN2	0.001965542	0.104998553	In
21502	CD81	0.001967679	0.172377202	In
21503	TIAL1	0.001971635	0.033244142	In
21504	ECH1	0.001971635	-0.3032933	In
21505	LSM14B	0.001974135	-0.301560078	In
21506	RAD9A	0.001975497	0.026871659	In
21507	JPH1	0.001977765	0.02901259	In
21508	RAVER2	0.001978072	-0.241932694	In
21509	SC5D	0.0019861	-0.326338192	In
21510	PCDH11Y	0.001994634	-0.080264829	In
21511	ARID4A	0.001996043	0.113853073	In
21512	NXPE3	0.001996948	0.032943982	In
21513	TCF24	0.001996948	-0.83266362	In
21514	PIP4K2C	0.001996948	-0.112109162	In
21515	CDK5R1	0.001996948	0.10200993	In
21516	ZNF37A	0.002000742	0.080872929	In
21517	ZNF148	0.00200589	0.103721963	In
21518	FAM222B	0.002009138	0.106894282	In
21519	MAGI1	0.002012513	0.024693307	In
21520	ZNF407	0.00201297	0.017662033	In
21521	PACSIN1	0.002014247	0.146477642	In
21522	DGKH	0.002014247	-0.17678374	In
21523	RBMS2	0.002014835	-0.079042318	In
21524	UTP6	0.002014835	0.00173327	In
21525	TFDP1	0.002015084	0.077672083	In
21526	TMA16	0.002015785	-0.483938368	In
21527	CCDC191	0.002016258	0.25361176	In
21528	RIC8B	0.002020415	0.107439791	In
21529	WDR31	0.002024918	-0.300265593	In
21530	JUN	0.002026379	-0.186708779	In
21531	APOE	0.002026379	0.067893857	In
21532	CSNK2A2	0.002028005	-0.063583271	In
21533	NUP153	0.002034533	0.132906926	In
21534	CGGBP1	0.00203577	-0.11201524	In
21535	GADD45A	0.002036357	-0.405022499	In
21536	ZDHHC5	0.002036357	0.051186633	In
21537	FAM20B	0.002036479	0.026331432	In
21538	IRF2	0.002036791	-0.226115798	In
21539	CCDC171	0.002037179	0.132612703	In
21540	TMEM9	0.002038218	-0.082436323	In
21541	COLGALT2	0.002039928	0.094563032	In
21542	RUVBL1	0.002039928	-0.164105989	In
21543	SURF2	0.002046217	-0.72362637	In
21544	GLCE	0.002046217	0.106443665	In
21545	L3MBTL1	0.002046217	-0.252829268	In
21546	CYP20A1	0.002046241	-0.275407241	In
21547	MLH3	0.002046747	-0.007503724	In
21548	GLO1	0.002049155	-0.017707661	In
21549	LONP1	0.002054825	-0.097060477	In
21550	TBC1D5	0.002056682	0.105026096	In
21551	ZFYVE26	0.002056682	-0.312059754	In
21552	TTC37	0.002060524	0.081397175	In
21553	CCDC102B	0.002067636	-0.168930188	In
21554	TXLNB	0.002068027	-0.560136795	In
21555	HES6	0.002070851	-0.130628396	In
21556	CDH6	0.002075287	0.004879281	In
21557	ADPGK	0.002075287	-0.275531061	In
21558	RPP25	0.002077423	-0.1792876	In
21559	CEP295	0.002085916	0.143132376	In
21560	ADCYAP1R1	0.00209733	0.087948437	In
21561	SPON1	0.002098777	-0.254378628	In
21562	ARMCX6	0.002100841	-0.241229786	In
21563	CHTOP	0.002111085	-0.120237105	In
21564	ARHGAP21	0.002119691	0.118689424	In
21565	SEMA4C	0.002126181	-0.684191673	In
21566	UPP2	0.002126873	0.135817369	In
21567	KLHDC8A	0.002127584	-0.467058576	In
21568	TTC23L	0.002127584	-0.558345202	In
21569	ZNF487	0.002127584	0.088489116	In
21570	SEL1L	0.002131646	-0.062533714	In
21571	FYTTD1	0.002136583	-0.010214986	In
21572	MSRB1	0.002138348	-0.440524365	In
21573	MED31	0.002143419	0.084678848	In
21574	ZNF521	0.002143419	-0.19533519	In
21575	HNRNPL	0.002143419	0.210436038	In
21576	ELL2	0.002152503	-0.139261435	In
21577	ZNF444	0.002152503	-0.283326707	In
21578	RAC3	0.00215634	-0.196081786	In
21579	SLC2A3	0.002157475	0.070915756	In
21580	KIAA1324L	0.00216285	0.144627944	In
21581	KATNAL2	0.002167438	0.067082249	In
21582	ANKRA2	0.002168598	-0.166763291	In
21583	UGGT1	0.002168638	-0.066187636	In
21584	ZBTB8A	0.002169924	-0.302443332	In
21585	FCGBP	0.002174095	-3.500692765	In
21586	SURF1	0.002184371	-0.521154989	In
21587	BIN1	0.002192333	0.162297065	In
21588	ALKBH7	0.00220241	-0.145037634	In
21589	ZNF507	0.002203713	-0.017783031	In
21590	MTHFD2L	0.002210226	-0.123235706	In
21591	RORA	0.002210649	0.034467979	In
21592	CYLD	0.002215341	0.016786558	In
21593	COA4	0.002218078	-0.254680914	In
21594	SPRY2	0.002218078	0.072577045	In
21595	TECPR2	0.002218708	-0.047833165	In
21596	WBP11	0.002220317	-0.125643885	In
21597	SLC9A8	0.002220471	-0.078617721	In
21598	PPM1A	0.002221055	0.026317119	In
21599	FUNDC2	0.002222041	-0.300972071	In
21600	ANKRD7	0.002222237	-0.057510338	In
21601	TMEM203	0.002222237	-0.625128537	In
21602	PIGF	0.002226583	-0.330078991	In
21603	TMEM30A	0.002226583	-0.030431691	In
21604	BTBD7	0.002229649	0.026279318	In
21605	ACSS2	0.00222991	-0.326486742	In
21606	ZFPL1	0.002234035	-0.284046744	In
21607	SAMD4B	0.002235535	0.028711083	In
21608	BZW2	0.002240266	-0.032727714	In
21609	INPP5D	0.002250869	-1.646605674	In
21610	FBN2	0.002250869	-0.125872501	In
21611	BTN3A3	0.00225798	-0.386785949	In
21612	USP13	0.002259363	0.020673139	In
21613	LIMD1	0.00225938	-0.106972347	In
21614	TUBD1	0.002269015	-0.146608307	In
21615	GLIS3	0.00227802	-0.219845405	In
21616	AP3D1	0.002279247	-0.054701092	In
21617	RAB27A	0.002281278	-0.023137763	In
21618	SSRP1	0.002286082	-0.060016936	In
21619	GAS8	0.002286082	0.025628721	In
21620	SNAPC3	0.002288428	-0.081528116	In
21621	FAM133B	0.002297826	-0.105232812	In
21622	HADHB	0.002311705	-0.077384219	In
21623	LRP1	0.002313022	0.256719512	In
21624	ANKHD1-EIF4EBP3	0.002319007	-0.594833356	In
21625	NDUFA2	0.002319476	-0.190995464	In
21626	ADAM19	0.002326238	-0.178494695	In
21627	COL23A1	0.002326238	-0.037000386	In
21628	FCHO2	0.002330881	-0.004805684	In
21629	CDYL	0.002332221	-0.062706497	In
21630	TNKS2	0.002332221	0.003513111	In
21631	PI4KB	0.002333154	0.244566358	In
21632	ERP44	0.002336902	0.076514213	In
21633	PRCP	0.002338336	-0.21429648	In
21634	FAM102A	0.002360285	-0.161797317	In
21635	CEP164	0.002360319	0.031015281	In
21636	NRBF2	0.002360535	-0.137114611	In
21637	RANGRF	0.002365928	-0.424673307	In
21638	KBTBD3	0.002366086	-0.073034894	In
21639	MAPK6	0.002377208	-0.080866629	In
21640	MPP3	0.002377208	-0.544494043	In
21641	RAD51C	0.002388269	0.039009895	In
21642	ST18	0.002393086	0.182094211	In
21643	FBXO42	0.002395403	-0.035163383	In
21644	MRPS5	0.002398382	0.132398716	In
21645	C6orf62	0.002402224	0.226773549	In
21646	RTN4IP1	0.002403247	-0.348000492	In
21647	RUSC1	0.002403458	-0.056783934	In
21648	CORO2A	0.00240397	-0.222421964	In
21649	UBE2O	0.002406208	0.10665491	In
21650	C3orf14	0.002406437	-0.043627802	In
21651	COPB2	0.002408969	-0.075907176	In
21652	SWI5	0.002411349	-0.418059451	In
21653	HSPA4L	0.002411898	0.069884645	In
21654	NEURL2	0.002414127	-1.004250239	In
21655	ANGEL1	0.002415078	-0.148046597	In
21656	SCGN	0.002420896	-0.625225741	In
21657	SH3D19	0.002421019	-0.008214304	In
21658	TDRD7	0.002421462	-0.093657495	In
21659	HDGF	0.002432828	-0.056516545	In
21660	MED9	0.002433561	-0.349045828	In
21661	SEC31A	0.002435208	0.090375045	In
21662	SEC11A	0.002444696	0.013664349	In
21663	PRPF19	0.002464993	-0.022277155	In
21664	SREBF2	0.002464993	0.067273331	In
21665	ZNF500	0.002473278	-0.305346699	In
21666	ZDHHC14	0.002477962	0.198919824	In
21667	C5orf28	0.002480336	-0.166926184	In
21668	RC3H2	0.002482185	0.078254138	In
21669	PCDH10	0.002485932	0.067290147	In
21670	PDZD8	0.002489045	0.012303131	In
21671	LPCAT3	0.002489045	-0.184833604	In
21672	NLRC5	0.002489045	-0.914329753	In
21673	MCF2L	0.002490476	0.057082114	In
21674	TYW5	0.002490662	-0.472765913	In
21675	HCN1	0.00249288	0.080877099	In
21676	STXBP4	0.002496398	-0.090077922	In
21677	CDON	0.002501124	-0.089260663	In
21678	TUBGCP2	0.002510993	-0.258621824	In
21679	SRSF9	0.002514289	-0.178164529	In
21680	S100PBP	0.002517074	-0.085533356	In
21681	SPIN1	0.002530948	0.127379794	In
21682	GPR75-ASB3	0.002543229	0.090643657	In
21683	ZNF675	0.002546073	0.06130468	In
21684	EPS8L2	0.002547811	-0.953098322	In
21685	LMBR1L	0.002547936	-0.152157694	In
21686	KIAA0907	0.002549735	-0.024292604	In
21687	EGLN1	0.002554063	0.076439205	In
21688	GNG2	0.002554063	-0.001546726	In
21689	KLHL23	0.00255424	-0.05531287	In
21690	MTBP	0.002560657	-0.42499187	In
21691	ZFAND2B	0.002562332	-0.260979969	In
21692	GPBP1L1	0.002563	0.070495591	In
21693	ANKRD46	0.002563	-0.028891727	In
21694	ZNF33A	0.002563	0.078654433	In
21695	NR1H2	0.002565269	-0.003909996	In
21696	LHFPL4	0.002567083	0.124101285	In
21697	PDAP1	0.002567216	-0.192194506	In
21698	CRELD1	0.002568072	0.049260498	In
21699	SLC6A6	0.002568238	-0.026023143	In
21700	ARFIP1	0.002569493	0.127031891	In
21701	SENP7	0.002572686	-0.037628996	In
21702	YPEL5	0.002578499	0.101716778	In
21703	VEZF1	0.002578912	-0.188311788	In
21704	UBN1	0.002580638	-0.012136884	In
21705	SLC25A46	0.002582307	0.075472982	In
21706	HIC2	0.002591996	-0.093129556	In
21707	TMEM120A	0.00259868	0.178368528	In
21708	PPP2R1A	0.002607211	0.191268466	In
21709	PLXNA4	0.002608683	0.054629594	In
21710	GOLPH3	0.00260999	-0.134466796	In
21711	TMED1	0.002620931	-0.801221494	In
21712	MPPE1	0.00262636	-0.157154922	In
21713	MEF2D	0.002632022	-0.084731855	In
21714	LASP1	0.002632022	-0.014018944	In
21715	PDE2A	0.002632929	0.106858914	In
21716	RNF145	0.002635042	0.188594955	In
21717	SNRNP200	0.002639328	-0.05883674	In
21718	METTL16	0.002645729	0.0821789	In
21719	DPP6	0.002649531	0.033890014	In
21720	EXT2	0.002649531	0.014904172	In
21721	SLC27A4	0.002651753	-0.060540796	In
21722	HINT3	0.002652983	-0.053694211	In
21723	RUNX2	0.002653316	0.151508324	In
21724	HSF4	0.002657341	0.042165566	In
21725	ZNF573	0.002658159	0.013364378	In
21726	RBM8A	0.002665315	-0.030134849	In
21727	CEP57L1	0.002667769	-0.074077912	In
21728	COQ10B	0.002669873	-0.265347453	In
21729	HMGN4	0.002671321	-0.322324953	In
21730	FAM90A1	0.002675257	-0.589544797	In
21731	TMEM209	0.002677424	0.050545091	In
21732	CNOT1	0.00267981	0.099692614	In
21733	CNOT7	0.002686685	-0.016469205	In
21734	DEXI	0.002687662	-0.061822592	In
21735	RBBP9	0.002701417	0.097738098	In
21736	C1orf123	0.002703065	-0.209813716	In
21737	PPIL2	0.002716086	0.00814053	In
21738	TAF9B	0.002726326	-0.822087515	In
21739	NCBP2	0.002727022	-0.366476974	In
21740	ZNF786	0.002732194	-0.154427948	In
21741	LARP1	0.002740084	0.140479718	In
21742	CHURC1-FNTB	0.002752309	-0.148604809	In
21743	NEK7	0.002754653	-0.142278493	In
21744	FAM104B	0.00275496	-0.887879725	In
21745	DCTN5	0.002755566	-0.116931702	In
21746	GK	0.00277026	-0.165041825	In
21747	UNC5B	0.002779492	0.032781156	In
21748	MBIP	0.002780469	-0.139874429	In
21749	KLHDC2	0.002787343	0.061218477	In
21750	NUDT12	0.002787701	-0.767788147	In
21751	ZCWPW2	0.00279272	-0.0563308	In
21752	CCDC28B	0.002797455	-0.364183872	In
21753	NOVA2	0.002797455	0.067695591	In
21754	ZNF771	0.002812193	0.167775738	In
21755	SEMA4B	0.002813003	-0.115853812	In
21756	INTS9	0.002813733	-0.125530361	In
21757	SYT10	0.002813733	-0.542504975	In
21758	PMM2	0.002814541	-0.167387227	In
21759	RPS27L	0.002826182	-0.152155905	In
21760	OSCP1	0.002833947	-0.279839575	In
21761	C4orf3	0.002833947	0.118213041	In
21762	STAC2	0.002833947	-0.183975596	In
21763	CDK11B	0.002840829	-0.096497336	In
21764	DDIT3	0.002843455	-0.191708632	In
21765	CMIP	0.002845652	0.199684503	In
21766	GEMIN2	0.002847595	-0.144125439	In
21767	TBCC	0.002853358	-0.193319383	In
21768	CPEB3	0.002856578	0.123615404	In
21769	GFPT1	0.002856905	0.158033674	In
21770	MRPS31	0.002858584	-0.074866258	In
21771	CCDC122	0.002858584	-0.241846671	In
21772	LRRC29	0.002858584	-0.429856342	In
21773	NMT1	0.002858584	0.069009559	In
21774	TOR1A	0.002861554	-0.206087365	In
21775	SNX17	0.002861572	0.046838161	In
21776	WDR12	0.002861572	-0.121370461	In
21777	ADH5	0.002871899	0.13615156	In
21778	DPH5	0.002873585	-0.436537089	In
21779	SEPT8	0.002876354	0.038657368	In
21780	TNRC6B	0.00288209	0.060135722	In
21781	ILKAP	0.002883215	-0.021662428	In
21782	CRHBP	0.002884597	-0.27501552	In
21783	C1orf159	0.002884745	-0.003726734	In
21784	ZBTB8OS	0.002884831	0.097131016	In
21785	SLC16A6	0.002885101	-0.22142069	In
21786	MME	0.002887746	-0.797213145	In
21787	CCNT2	0.002887956	-0.214962685	In
21788	ETNK1	0.002887956	0.01962897	In
21789	SIDT2	0.002893072	-0.320731865	In
21790	VBP1	0.002897437	-0.064150098	In
21791	ZFP2	0.002898281	-0.268806509	In
21792	GLT1D1	0.002904686	0.03484963	In
21793	EYA3	0.002906799	0.049068864	In
21794	PSMF1	0.002919321	-0.29857717	In
21795	CREB1	0.002919995	-0.037666993	In
21796	SCAMP2	0.002919995	-0.058776645	In
21797	TAF1B	0.002943945	-0.053377771	In
21798	WDR19	0.002943945	-0.043361396	In
21799	DCAKD	0.00294537	0.119606462	In
21800	BFSP1	0.002952849	-1.602170029	In
21801	HEATR5A	0.002953826	-0.087644305	In
21802	TMEM184C	0.002956958	-0.094324073	In
21803	IDI1	0.002962056	-0.123126204	In
21804	ACLY	0.002966653	-0.127823153	In
21805	NPRL3	0.002983742	0.068347941	In
21806	TRMT11	0.002988785	-0.022141652	In
21807	UGT2B28	0.002995043	-4.2858844	In
21808	NTRK3	0.002995043	0.139121479	In
21809	TMEM199	0.002995043	-0.470492788	In
21810	HSD17B10	0.002996475	-0.853162012	In
21811	CNR1	0.0030016	-0.03186969	In
21812	GREM2	0.003002008	-0.113771839	In
21813	TRIM24	0.003003396	-0.057825896	In
21814	NAT9	0.003005926	-0.049992262	In
21815	LGALS8	0.003013319	-0.064000524	In
21816	RINT1	0.003013734	-0.155582491	In
21817	ATAD1	0.003013933	0.040778865	In
21818	TIMM50	0.003013933	-0.001699045	In
21819	CCDC43	0.00305427	-0.269221085	In
21820	LAMTOR2	0.003056026	-0.306235825	In
21821	ICE2	0.003056026	-0.068029535	In
21822	TRPM2	0.003064465	-0.01146146	In
21823	DDX25	0.003065386	-0.071377767	In
21824	FAM149B1	0.003071751	-0.106513048	In
21825	MDM1	0.003074263	0.136570684	In
21826	SPTLC2	0.003080314	-0.267875498	In
21827	PRLHR	0.003082119	-0.543219008	In
21828	DDX21	0.00308831	0.166953212	In
21829	ARPP19	0.00308831	0.136188758	In
21830	GPM6A	0.003090965	0.038181438	In
21831	FRMPD2	0.003092827	-1.250875596	In
21832	B9D2	0.003093404	-1.109157285	In
21833	SGSM2	0.003095485	0.01515948	In
21834	SHQ1	0.003107951	-0.388428357	In
21835	SPRED3	0.003121813	-0.315607921	In
21836	UBA1	0.003124075	0.03795542	In
21837	ARSD	0.0031267	-1.339751804	In
21838	WASL	0.00312833	-0.033409291	In
21839	RPL22	0.003134172	-0.042477088	In
21840	PLD5	0.003134597	0.063540677	In
21841	NMNAT3	0.003134597	0.037464036	In
21842	PNOC	0.003139033	-0.333918262	In
21843	SNAPC5	0.003141051	-0.086759076	In
21844	NREP	0.003142624	-0.100176522	In
21845	GDPGP1	0.003144404	-0.623693576	In
21846	ARHGDIG	0.003147925	-0.15639433	In
21847	THSD4	0.00315166	-0.080291528	In
21848	ARFGAP2	0.003159194	-0.063698658	In
21849	FBN1	0.003179594	0.169958038	In
21850	RALGDS	0.00318383	0.039383782	In
21851	SMIM17	0.003184421	-0.145979046	In
21852	TMEM5	0.003185699	-0.633052692	In
21853	AFG3L2	0.003190255	-0.252833628	In
21854	EIF2B1	0.003193555	-0.403546803	In
21855	ATP2C1	0.003196872	0.171297827	In
21856	DLX1	0.003201092	0.060490342	In
21857	RP11-637O19.3	0.003215061	-0.120160328	In
21858	DUSP3	0.003215822	-0.124250339	In
21859	TMEM87B	0.00322322	-0.352159618	In
21860	MRPL47	0.003223595	-0.418966402	In
21861	UNC45A	0.003228083	-0.369514398	In
21862	ZC2HC1A	0.003235201	-0.046495377	In
21863	LMF1	0.003236907	-0.111146853	In
21864	TBRG1	0.003238536	-0.005691054	In
21865	TPCN1	0.003246949	-0.067329755	In
21866	DOK6	0.003253935	0.113813631	In
21867	RPL31	0.00325503	0.166860974	In
21868	NAA15	0.003256441	-0.02132682	In
21869	ZDBF2	0.003261546	0.046009685	In
21870	ULK1	0.003269753	0.170019004	In
21871	NME3	0.003269753	-0.066353033	In
21872	VARS2	0.003273914	-0.037261381	In
21873	NVL	0.003280636	-0.012578536	In
21874	SYNJ1	0.003280636	0.085836855	In
21875	FADS6	0.00328385	-0.357162347	In
21876	CCNB1IP1	0.003287799	-0.29309593	In
21877	RPP25L	0.003294374	-0.610321601	In
21878	ADAT1	0.003307003	-0.318197746	In
21879	LAMP2	0.003308558	0.201132576	In
21880	YJEFN3	0.003309801	0.115961427	In
21881	ELL	0.003310601	-0.208541821	In
21882	YTHDF2	0.003319679	0.078675306	In
21883	ESD	0.003320856	-0.101212862	In
21884	TPD52L2	0.003328636	0.007778695	In
21885	SUPT6H	0.003328857	-0.227432788	In
21886	PCYT1A	0.003331657	-0.212019965	In
21887	SNAPC2	0.003335157	-0.323017347	In
21888	STPG1	0.003341399	-0.417335562	In
21889	PSMA4	0.003351514	0.121805115	In
21890	PIK3R1	0.003359504	0.045276926	In
21891	UBE2I	0.003369406	0.094679674	In
21892	ANO1	0.003370805	-0.09499075	In
21893	ADNP	0.003370805	0.174080989	In
21894	FABP3	0.003376481	-0.354072788	In
21895	C2CD2L	0.003380158	-0.231167902	In
21896	HSDL1	0.00338372	-0.255012215	In
21897	NDUFA6	0.00338372	-0.190897339	In
21898	SLC30A6	0.003384683	0.078985257	In
21899	TET3	0.003387722	-0.082312183	In
21900	SLC2A6	0.003387722	-0.069470366	In
21901	LRRCC1	0.003403407	-0.686720757	In
21902	SKAP2	0.003403523	0.02992518	In
21903	PHLPP2	0.003416045	0.005103323	In
21904	CAND2	0.003420653	-0.169830855	In
21905	LRRC8A	0.003424093	0.027827152	In
21906	BTD	0.003427052	-0.246455083	In
21907	INA	0.003427052	0.033132274	In
21908	BAG6	0.003429331	-0.213663535	In
21909	MPHOSPH6	0.003432989	-0.001584035	In
21910	MARC2	0.003436241	-0.156346632	In
21911	CTSB	0.00344028	0.083678636	In
21912	PHF8	0.003452105	-0.148405963	In
21913	SCAMP1	0.003456216	0.099042687	In
21914	IDE	0.003461235	-0.071389296	In
21915	ZNF408	0.003462043	-0.397061011	In
21916	DENND6B	0.003468472	0.036874324	In
21917	GFRA2	0.003470329	0.037921114	In
21918	PRKG1	0.003479097	0.10068273	In
21919	TCAF2	0.003483707	-0.331909557	In
21920	WDFY1	0.003484522	-0.034424096	In
21921	ZNF155	0.003485998	0.022945038	In
21922	AIMP1	0.003490442	-0.179868874	In
21923	ELAC2	0.003490442	-0.107749749	In
21924	TMEM192	0.003494257	-0.142212464	In
21925	PEX1	0.003495294	-0.111838299	In
21926	GOLGA1	0.003495294	-0.119935999	In
21927	SRGAP2C	0.003496897	0.091548713	In
21928	MFN2	0.003498193	-0.120953129	In
21929	SMARCB1	0.003499524	0.025199209	In
21930	FAM127B	0.00350104	-0.099595611	In
21931	TXNDC12	0.003506806	-0.052836842	In
21932	MAML2	0.003510361	-0.040308708	In
21933	SEMA4G	0.003531602	-0.004421768	In
21934	EWSR1	0.003547663	-0.123649273	In
21935	BMP3	0.003552454	-1.110169927	In
21936	FAM126B	0.003565728	0.063011974	In
21937	GUCY1A3	0.003566328	-0.011473665	In
21938	OOEP	0.003566328	-0.151187275	In
21939	COL19A1	0.003576458	0.142726102	In
21940	ZDHHC15	0.003577594	-0.180393507	In
21941	GFOD2	0.003579423	-0.349372522	In
21942	CRLF1	0.003579423	0.251761557	In
21943	CCNC	0.003581164	-0.238691946	In
21944	PSEN1	0.003581976	0.072703514	In
21945	DCTN1	0.003582165	-0.827700648	In
21946	KCTD6	0.003582165	-0.2768604	In
21947	RNF181	0.003584565	-0.313487595	In
21948	RAB40B	0.003585438	0.050726007	In
21949	RAB8A	0.003593394	-0.696640352	In
21950	RWDD4	0.003597233	-0.150794438	In
21951	TMEM126A	0.003612467	-0.1406871	In
